B23025_001E,B23025_001EA,B23025_001M,B23025_001MA,B23025_002E,B23025_002EA,B23025_002M,B23025_002MA,B23025_003E,B23025_003EA,B23025_003M,B23025_003MA,B23025_004E,B23025_004EA,B23025_004M,B23025_004MA,B23025_005E,B23025_005EA,B23025_005M,B23025_005MA,B23025_006E,B23025_006EA,B23025_006M,B23025_006MA,B23025_007E,B23025_007EA,B23025_007M,B23025_007MA,GEO_ID,NAME,state,zip code tabulation area
27486,,1249,,17475,,907,,17475,,907,,15826,,817,,1649,,416,,0,,29,,10011,,904,,8600000US77502,ZCTA5 77502,48,77502
6924,,376,,4531,,351,,4531,,351,,4215,,342,,316,,143,,0,,19,,2393,,296,,8600000US77547,ZCTA5 77547,48,77547
632,,248,,355,,191,,355,,191,,286,,141,,69,,95,,0,,14,,277,,131,,8600000US77597,ZCTA5 77597,48,77597
663,,174,,410,,131,,410,,131,,385,,126,,25,,24,,0,,14,,253,,90,,8600000US77629,ZCTA5 77629,48,77629
18039,,768,,11038,,729,,11038,,729,,10437,,730,,601,,163,,0,,25,,7001,,544,,8600000US77632,ZCTA5 77632,48,77632
28937,,771,,16010,,694,,15988,,699,,15010,,712,,978,,206,,22,,25,,12927,,745,,8600000US77642,ZCTA5 77642,48,77642
2397,,352,,1038,,247,,1038,,247,,923,,224,,115,,85,,0,,14,,1359,,218,,8600000US77664,ZCTA5 77664,48,77664
10079,,758,,5453,,466,,5453,,466,,5161,,455,,292,,107,,0,,21,,4626,,489,,8600000US77701,ZCTA5 77701,48,77701
879,,235,,657,,192,,657,,192,,657,,192,,0,,14,,0,,14,,222,,95,,8600000US77010,ZCTA5 77010,48,77010
19693,,916,,11150,,690,,11124,,687,,10199,,659,,925,,229,,26,,25,,8543,,696,,8600000US77020,ZCTA5 77020,48,77020
21219,,951,,12636,,788,,12625,,791,,11365,,821,,1260,,294,,11,,17,,8583,,656,,8600000US77021,ZCTA5 77021,48,77021
9013,,625,,6115,,551,,6115,,551,,5792,,552,,323,,138,,0,,21,,2898,,353,,8600000US77030,ZCTA5 77030,48,77030
13764,,1102,,8689,,866,,8689,,866,,8479,,858,,210,,126,,0,,21,,5075,,556,,8600000US77037,ZCTA5 77037,48,77037
27303,,1463,,16937,,1256,,16937,,1256,,15672,,1168,,1265,,388,,0,,29,,10366,,1055,,8600000US77045,ZCTA5 77045,48,77045
44068,,1573,,31265,,1434,,31265,,1434,,29519,,1495,,1746,,406,,0,,32,,12803,,1094,,8600000US77082,ZCTA5 77082,48,77082
80907,,2465,,57234,,2251,,57234,,2251,,53583,,2087,,3651,,656,,0,,32,,23673,,1327,,8600000US77084,ZCTA5 77084,48,77084
25715,,1102,,16530,,925,,16530,,925,,15755,,887,,775,,267,,0,,29,,9185,,692,,8600000US77301,ZCTA5 77301,48,77301
19575,,1255,,13031,,1058,,13031,,1058,,12483,,1072,,548,,184,,0,,25,,6544,,593,,8600000US77316,ZCTA5 77316,48,77316
13569,,1010,,7858,,1024,,7858,,1024,,7425,,1035,,433,,195,,0,,21,,5711,,610,,8600000US77318,ZCTA5 77318,48,77318
27631,,1288,,13879,,1172,,13879,,1172,,13440,,1164,,439,,196,,0,,29,,13752,,1059,,8600000US77340,ZCTA5 77340,48,77340
48582,,1635,,33803,,1558,,33745,,1558,,32305,,1491,,1440,,361,,58,,58,,14779,,1003,,8600000US77346,ZCTA5 77346,48,77346
23193,,1131,,14827,,803,,14827,,803,,14105,,782,,722,,270,,0,,25,,8366,,812,,8600000US77355,ZCTA5 77355,48,77355
47250,,1561,,32590,,1219,,32590,,1219,,30956,,1204,,1634,,389,,0,,32,,14660,,998,,8600000US77373,ZCTA5 77373,48,77373
3690,,411,,1999,,369,,1999,,369,,1851,,327,,148,,84,,0,,14,,1691,,241,,8600000US77434,ZCTA5 77434,48,77434
6223,,206,,2489,,359,,2489,,359,,2181,,365,,308,,94,,0,,19,,3734,,397,,8600000US77446,ZCTA5 77446,48,77446
461,,164,,327,,180,,327,,180,,322,,180,,5,,9,,0,,14,,134,,80,,8600000US77466,ZCTA5 77466,48,77466
42104,,1718,,27091,,1422,,27074,,1419,,25852,,1458,,1222,,335,,17,,28,,15013,,1203,,8600000US77469,ZCTA5 77469,48,77469
9879,,632,,6031,,464,,6031,,464,,5813,,478,,218,,103,,0,,21,,3848,,531,,8600000US77336,ZCTA5 77336,48,77336
7666,,388,,4966,,370,,4966,,370,,4805,,381,,161,,92,,0,,21,,2700,,308,,8600000US77094,ZCTA5 77094,48,77094
25251,,1357,,17285,,1032,,17274,,1033,,16549,,985,,725,,233,,11,,17,,7966,,748,,8600000US77096,ZCTA5 77096,48,77096
62321,,1623,,41172,,1452,,41141,,1458,,39076,,1378,,2065,,393,,31,,37,,21149,,1064,,8600000US77379,ZCTA5 77379,48,77379
40525,,1480,,30231,,1419,,30140,,1433,,29172,,1450,,968,,353,,91,,96,,10294,,1012,,8600000US77386,ZCTA5 77386,48,77386
26675,,1323,,18708,,1149,,18695,,1149,,18151,,1109,,544,,182,,13,,22,,7967,,693,,8600000US77389,ZCTA5 77389,48,77389
12582,,667,,7778,,444,,7778,,444,,7490,,451,,288,,133,,0,,21,,4804,,540,,8600000US77437,ZCTA5 77437,48,77437
45,,47,,27,,26,,27,,26,,27,,26,,0,,14,,0,,14,,18,,23,,8600000US77451,ZCTA5 77451,48,77451
5409,,582,,3187,,572,,3187,,572,,3116,,545,,71,,75,,0,,19,,2222,,312,,8600000US77465,ZCTA5 77465,48,77465
71655,,1507,,47308,,1343,,47273,,1341,,45041,,1338,,2232,,407,,35,,41,,24347,,1120,,8600000US77479,ZCTA5 77479,48,77479
35,,40,,7,,9,,7,,9,,7,,9,,0,,14,,0,,14,,28,,37,,8600000US77481,ZCTA5 77481,48,77481
978,,247,,525,,171,,525,,171,,519,,169,,6,,10,,0,,14,,453,,133,,8600000US77853,ZCTA5 77853,48,77853
10207,,258,,6137,,395,,6129,,395,,5860,,387,,269,,108,,8,,13,,4070,,337,,8600000US77651,ZCTA5 77651,48,77651
23951,,901,,14548,,802,,14542,,801,,13884,,794,,658,,181,,6,,10,,9403,,706,,8600000US77803,ZCTA5 77803,48,77803
2329,,316,,1357,,257,,1357,,257,,1315,,260,,42,,42,,0,,14,,972,,223,,8600000US77830,ZCTA5 77830,48,77830
5145,,314,,3398,,317,,3398,,317,,3209,,306,,189,,138,,0,,19,,1747,,312,,8600000US77859,ZCTA5 77859,48,77859
5653,,382,,3423,,344,,3423,,344,,3356,,348,,67,,51,,0,,19,,2230,,204,,8600000US77864,ZCTA5 77864,48,77864
88,,38,,53,,31,,53,,31,,53,,31,,0,,14,,0,,14,,35,,19,,8600000US77867,ZCTA5 77867,48,77867
9476,,510,,6361,,472,,6354,,472,,6032,,516,,322,,121,,7,,11,,3115,,369,,8600000US77474,ZCTA5 77474,48,77474
11597,,685,,6462,,531,,6462,,531,,6016,,516,,446,,133,,0,,21,,5135,,433,,8600000US77488,ZCTA5 77488,48,77488
17616,,780,,11757,,762,,11757,,762,,10467,,691,,1290,,308,,0,,25,,5859,,519,,8600000US77503,ZCTA5 77503,48,77503
11703,,952,,7456,,843,,7456,,843,,7160,,825,,296,,145,,0,,21,,4247,,489,,8600000US77510,ZCTA5 77510,48,77510
44760,,1444,,29997,,1190,,29907,,1193,,27605,,1165,,2302,,436,,90,,79,,14763,,987,,8600000US77521,ZCTA5 77521,48,77521
4451,,539,,2549,,531,,2549,,531,,2427,,464,,122,,124,,0,,19,,1902,,302,,8600000US75839,ZCTA5 75839,48,75839
100,,51,,53,,27,,53,,27,,53,,27,,0,,14,,0,,14,,47,,29,,8600000US75848,ZCTA5 75848,48,75848
64,,32,,29,,16,,29,,16,,27,,16,,2,,3,,0,,14,,35,,20,,8600000US75849,ZCTA5 75849,48,75849
0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,8600000US75858,ZCTA5 75858,48,75858
26201,,818,,16009,,861,,16000,,864,,15229,,872,,771,,201,,9,,14,,10192,,724,,8600000US75904,ZCTA5 75904,48,75904
1432,,280,,545,,162,,531,,158,,471,,131,,60,,51,,14,,24,,887,,195,,8600000US75932,ZCTA5 75932,48,75932
740,,133,,335,,93,,335,,93,,309,,84,,26,,23,,0,,14,,405,,92,,8600000US75937,ZCTA5 75937,48,75937
7067,,807,,3672,,604,,3672,,604,,3250,,605,,422,,203,,0,,19,,3395,,512,,8600000US75956,ZCTA5 75956,48,75956
2271,,283,,1231,,232,,1231,,232,,1171,,228,,60,,58,,0,,14,,1040,,192,,8600000US75973,ZCTA5 75973,48,75973
56299,,1564,,36438,,1334,,36422,,1333,,34713,,1341,,1709,,313,,16,,19,,19861,,1020,,8600000US75211,ZCTA5 75211,48,75211
1124,,203,,625,,140,,625,,140,,579,,136,,46,,24,,0,,14,,499,,99,,8600000US75449,ZCTA5 75449,48,75449
1282,,326,,641,,234,,641,,234,,531,,203,,110,,79,,0,,14,,641,,194,,8600000US75480,ZCTA5 75480,48,75480
4090,,488,,3048,,473,,3048,,473,,2957,,471,,91,,58,,0,,19,,1042,,208,,8600000US75459,ZCTA5 75459,48,75459
740,,227,,333,,132,,333,,132,,333,,132,,0,,14,,0,,14,,407,,197,,8600000US75468,ZCTA5 75468,48,75468
139,,69,,53,,26,,53,,26,,48,,25,,5,,7,,0,,14,,86,,55,,8600000US75475,ZCTA5 75475,48,75475
1622,,314,,1010,,229,,1010,,229,,950,,222,,60,,53,,0,,14,,612,,153,,8600000US75487,ZCTA5 75487,48,75487
1939,,217,,1379,,211,,1379,,211,,1331,,211,,48,,41,,0,,14,,560,,126,,8600000US75490,ZCTA5 75490,48,75490
19926,,1022,,11835,,735,,11831,,734,,11109,,740,,722,,241,,4,,7,,8091,,700,,8600000US75503,ZCTA5 75503,48,75503
1363,,322,,576,,176,,576,,176,,545,,180,,31,,27,,0,,14,,787,,241,,8600000US75555,ZCTA5 75555,48,75555
4216,,132,,1870,,231,,1870,,231,,1765,,219,,105,,56,,0,,19,,2346,,239,,8600000US79088,ZCTA5 79088,48,79088
90,,65,,47,,53,,47,,53,,23,,25,,24,,35,,0,,14,,43,,37,,8600000US79093,ZCTA5 79093,48,79093
642,,135,,420,,100,,420,,100,,402,,95,,18,,22,,0,,14,,222,,77,,8600000US79097,ZCTA5 79097,48,79097
10930,,333,,6583,,336,,6583,,336,,6072,,381,,511,,214,,0,,21,,4347,,371,,8600000US79007,ZCTA5 79007,48,79007
20,,23,,16,,20,,16,,20,,16,,20,,0,,14,,0,,14,,4,,6,,8600000US79025,ZCTA5 79025,48,79025
3548,,178,,2194,,205,,2194,,205,,2185,,206,,9,,13,,0,,14,,1354,,202,,8600000US79027,ZCTA5 79027,48,79027
695,,125,,416,,96,,416,,96,,416,,96,,0,,14,,0,,14,,279,,73,,8600000US79039,ZCTA5 79039,48,79039
464,,105,,248,,65,,248,,65,,241,,65,,7,,14,,0,,14,,216,,84,,8600000US79044,ZCTA5 79044,48,79044
75,,37,,54,,31,,54,,31,,54,,31,,0,,14,,0,,14,,21,,17,,8600000US79053,ZCTA5 79053,48,79053
1680,,172,,1117,,127,,1117,,127,,1103,,128,,14,,20,,0,,14,,563,,111,,8600000US79084,ZCTA5 79084,48,79084
1710,,252,,547,,148,,547,,148,,539,,146,,8,,17,,0,,14,,1163,,188,,8600000US79101,ZCTA5 79101,48,79101
24004,,604,,14812,,644,,14806,,643,,14166,,667,,640,,179,,6,,12,,9192,,511,,8600000US79107,ZCTA5 79107,48,79107
17979,,764,,12637,,737,,12637,,737,,12351,,719,,286,,219,,0,,25,,5342,,533,,8600000US79118,ZCTA5 79118,48,79118
5188,,471,,3338,,394,,3322,,394,,3212,,378,,110,,76,,16,,29,,1850,,244,,8600000US79121,ZCTA5 79121,48,79121
350,,84,,154,,51,,154,,51,,147,,48,,7,,9,,0,,14,,196,,65,,8600000US79229,ZCTA5 79229,48,79229
60,,80,,28,,42,,28,,42,,28,,42,,0,,14,,0,,14,,32,,40,,8600000US79231,ZCTA5 79231,48,79231
1110,,158,,621,,105,,621,,105,,573,,99,,48,,33,,0,,14,,489,,98,,8600000US79250,ZCTA5 79250,48,79250
20859,,734,,13468,,669,,13436,,670,,12982,,683,,454,,131,,32,,50,,7391,,498,,8600000US79106,ZCTA5 79106,48,79106
137,,88,,75,,58,,75,,58,,75,,58,,0,,14,,0,,14,,62,,45,,8600000US79230,ZCTA5 79230,48,79230
109,,40,,86,,36,,86,,36,,70,,30,,16,,13,,0,,14,,23,,13,,8600000US79233,ZCTA5 79233,48,79233
2427,,138,,1463,,131,,1463,,131,,1382,,137,,81,,47,,0,,14,,964,,131,,8600000US79235,ZCTA5 79235,48,79235
53,,44,,2,,3,,2,,3,,2,,3,,0,,14,,0,,14,,51,,44,,8600000US79243,ZCTA5 79243,48,79243
1856,,119,,1019,,90,,1019,,90,,899,,83,,120,,48,,0,,14,,837,,114,,8600000US79245,ZCTA5 79245,48,79245
529,,110,,297,,74,,297,,74,,281,,72,,16,,20,,0,,14,,232,,63,,8600000US79255,ZCTA5 79255,48,79255
1129,,139,,669,,102,,669,,102,,605,,90,,64,,32,,0,,14,,460,,80,,8600000US79313,ZCTA5 79313,48,79313
24,,17,,7,,9,,7,,9,,7,,9,,0,,14,,0,,14,,17,,11,,8600000US79314,ZCTA5 79314,48,79314
1289,,169,,820,,149,,820,,149,,776,,146,,44,,30,,0,,14,,469,,91,,8600000US79343,ZCTA5 79343,48,79343
5822,,365,,3563,,351,,3563,,351,,3380,,376,,183,,128,,0,,19,,2259,,354,,8600000US79364,ZCTA5 79364,48,79364
941,,100,,595,,91,,591,,92,,562,,85,,29,,21,,4,,6,,346,,53,,8600000US79372,ZCTA5 79372,48,79372
2143,,105,,1177,,122,,1177,,122,,1064,,112,,113,,70,,0,,14,,966,,126,,8600000US79373,ZCTA5 79373,48,79373
7343,,608,,4221,,602,,4221,,602,,4049,,598,,172,,68,,0,,19,,3122,,510,,8600000US79401,ZCTA5 79401,48,79401
7017,,919,,2284,,418,,2284,,418,,1593,,367,,691,,266,,0,,19,,4733,,718,,8600000US79406,ZCTA5 79406,48,79406
165,,58,,50,,23,,50,,23,,43,,21,,7,,9,,0,,14,,115,,52,,8600000US79535,ZCTA5 79535,48,79535
35,,31,,5,,7,,5,,7,,5,,7,,0,,14,,0,,14,,30,,31,,8600000US79537,ZCTA5 79537,48,79537
552,,110,,276,,76,,276,,76,,243,,70,,33,,25,,0,,14,,276,,68,,8600000US79544,ZCTA5 79544,48,79544
18580,,944,,12031,,770,,11536,,787,,11164,,816,,372,,150,,495,,187,,6549,,536,,8600000US79602,ZCTA5 79602,48,79602
373,,94,,211,,74,,211,,74,,205,,70,,6,,9,,0,,14,,162,,43,,8600000US79713,ZCTA5 79713,48,79713
120,,46,,91,,41,,91,,41,,91,,41,,0,,14,,0,,14,,29,,17,,8600000US79733,ZCTA5 79733,48,79733
175,,55,,84,,35,,84,,35,,84,,35,,0,,14,,0,,14,,91,,35,,8600000US79738,ZCTA5 79738,48,79738
1630,,206,,1081,,170,,1081,,170,,979,,189,,102,,79,,0,,14,,549,,134,,8600000US79855,ZCTA5 79855,48,79855
870,,180,,559,,117,,559,,117,,555,,116,,4,,5,,0,,14,,311,,91,,8600000US76250,ZCTA5 76250,48,76250
2800,,270,,1675,,225,,1675,,225,,1675,,225,,0,,14,,0,,14,,1125,,273,,8600000US76943,ZCTA5 76943,48,76943
33188,,1096,,22558,,863,,22398,,866,,21515,,884,,883,,271,,160,,88,,10630,,679,,8600000US76108,ZCTA5 76108,48,76108
37,,62,,37,,62,,37,,62,,37,,62,,0,,14,,0,,14,,0,,14,,8600000US76061,ZCTA5 76061,48,76061
7090,,632,,3976,,465,,3976,,465,,3796,,423,,180,,122,,0,,19,,3114,,391,,8600000US76084,ZCTA5 76084,48,76084
20558,,919,,13210,,721,,13093,,743,,12427,,733,,666,,185,,117,,82,,7348,,680,,8600000US76114,ZCTA5 76114,48,76114
13886,,1068,,10335,,1035,,10335,,1035,,9641,,914,,694,,262,,0,,21,,3551,,480,,8600000US76120,ZCTA5 76120,48,76120
36762,,1399,,24941,,1316,,21610,,1313,,19217,,1199,,2393,,529,,3331,,481,,11821,,925,,8600000US76549,ZCTA5 76549,48,76549
397,,128,,296,,104,,296,,104,,292,,103,,4,,5,,0,,14,,101,,40,,8600000US75493,ZCTA5 75493,48,75493
3611,,535,,2124,,392,,2124,,392,,2004,,395,,120,,77,,0,,14,,1487,,333,,8600000US75640,ZCTA5 75640,48,75640
2436,,391,,1165,,294,,1165,,294,,1137,,293,,28,,20,,0,,14,,1271,,210,,8600000US75770,ZCTA5 75770,48,75770
9437,,758,,5809,,644,,5809,,644,,5661,,639,,148,,116,,0,,21,,3628,,487,,8600000US75762,ZCTA5 75762,48,75762
4892,,378,,2819,,396,,2819,,396,,2767,,395,,52,,59,,0,,19,,2073,,266,,8600000US75844,ZCTA5 75844,48,75844
801,,244,,426,,176,,426,,176,,405,,171,,21,,27,,0,,14,,375,,129,,8600000US75959,ZCTA5 75959,48,75959
12517,,969,,7561,,702,,7561,,702,,7329,,679,,232,,179,,0,,21,,4956,,509,,8600000US75801,ZCTA5 75801,48,75801
6482,,586,,3103,,348,,3103,,348,,2983,,342,,120,,51,,0,,19,,3379,,423,,8600000US75783,ZCTA5 75783,48,75783
624,,189,,373,,142,,373,,142,,292,,101,,81,,66,,0,,14,,251,,82,,8600000US75784,ZCTA5 75784,48,75784
2419,,626,,1352,,442,,1352,,442,,1264,,445,,88,,83,,0,,14,,1067,,289,,8600000US75792,ZCTA5 75792,48,75792
2221,,416,,1154,,291,,1154,,291,,1034,,283,,120,,87,,0,,14,,1067,,232,,8600000US75846,ZCTA5 75846,48,75846
5301,,307,,2005,,289,,1973,,289,,1932,,295,,41,,38,,32,,49,,3296,,319,,8600000US75860,ZCTA5 75860,48,75860
1829,,382,,965,,278,,965,,278,,924,,277,,41,,41,,0,,14,,864,,213,,8600000US75931,ZCTA5 75931,48,75931
10040,,496,,5550,,433,,5550,,433,,5073,,442,,477,,236,,0,,21,,4490,,475,,8600000US75935,ZCTA5 75935,48,75935
120,,134,,81,,86,,81,,86,,81,,86,,0,,14,,0,,14,,39,,57,,8600000US75942,ZCTA5 75942,48,75942
12265,,684,,6811,,507,,6811,,507,,6285,,451,,526,,249,,0,,21,,5454,,573,,8600000US75951,ZCTA5 75951,48,75951
98,,56,,74,,62,,74,,62,,74,,62,,0,,14,,0,,14,,24,,30,,8600000US75978,ZCTA5 75978,48,75978
10374,,588,,4213,,500,,4213,,500,,3486,,469,,727,,323,,0,,21,,6161,,527,,8600000US75979,ZCTA5 75979,48,75979
2125,,337,,853,,198,,853,,198,,837,,199,,16,,12,,0,,14,,1272,,238,,8600000US75938,ZCTA5 75938,48,75938
4543,,304,,826,,177,,826,,177,,800,,181,,26,,26,,0,,14,,3717,,280,,8600000US75851,ZCTA5 75851,48,75851
6497,,560,,3244,,447,,3244,,447,,2933,,417,,311,,157,,0,,19,,3253,,434,,8600000US75949,ZCTA5 75949,48,75949
8503,,666,,6449,,636,,6449,,636,,6286,,639,,163,,91,,0,,21,,2054,,364,,8600000US75054,ZCTA5 75054,48,75054
41112,,1103,,28194,,1024,,28183,,1023,,27322,,993,,861,,226,,11,,14,,12918,,788,,8600000US75071,ZCTA5 75071,48,75071
3481,,253,,2119,,215,,2119,,215,,1897,,223,,222,,111,,0,,14,,1362,,213,,8600000US75109,ZCTA5 75109,48,75109
13729,,743,,6940,,631,,6940,,631,,6587,,608,,353,,148,,0,,21,,6789,,543,,8600000US75156,ZCTA5 75156,48,75156
195,,62,,123,,41,,123,,41,,113,,39,,10,,10,,0,,14,,72,,32,,8600000US75157,ZCTA5 75157,48,75157
20585,,859,,16982,,757,,16949,,758,,16293,,757,,656,,213,,33,,39,,3603,,420,,8600000US75254,ZCTA5 75254,48,75254
0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,8600000US75390,ZCTA5 75390,48,75390
48,,47,,38,,42,,38,,42,,38,,42,,0,,14,,0,,14,,10,,23,,8600000US75642,ZCTA5 75642,48,75642
8852,,743,,5062,,636,,5062,,636,,4761,,564,,301,,168,,0,,21,,3790,,467,,8600000US75645,ZCTA5 75645,48,75645
436,,150,,221,,84,,221,,84,,209,,83,,12,,18,,0,,14,,215,,97,,8600000US75682,ZCTA5 75682,48,75682
5943,,608,,3299,,453,,3299,,453,,3189,,438,,110,,82,,0,,19,,2644,,389,,8600000US75752,ZCTA5 75752,48,75752
73,,72,,47,,66,,47,,66,,47,,66,,0,,14,,0,,14,,26,,30,,8600000US75779,ZCTA5 75779,48,75779
180,,108,,118,,82,,118,,82,,110,,73,,8,,13,,0,,14,,62,,43,,8600000US75780,ZCTA5 75780,48,75780
18567,,1004,,7034,,724,,7020,,725,,6800,,723,,220,,138,,14,,21,,11533,,762,,8600000US75803,ZCTA5 75803,48,75803
107,,177,,97,,159,,97,,159,,97,,159,,0,,14,,0,,14,,10,,19,,8600000US75832,ZCTA5 75832,48,75832
3242,,362,,988,,192,,988,,192,,700,,174,,288,,94,,0,,14,,2254,,286,,8600000US75962,ZCTA5 75962,48,75962
770,,141,,476,,99,,476,,99,,458,,98,,18,,12,,0,,14,,294,,73,,8600000US75438,ZCTA5 75438,48,75438
2684,,451,,1294,,272,,1294,,272,,1205,,263,,89,,57,,0,,14,,1390,,278,,8600000US75974,ZCTA5 75974,48,75974
548,,114,,252,,89,,252,,89,,220,,86,,32,,26,,0,,14,,296,,72,,8600000US75976,ZCTA5 75976,48,75976
15099,,754,,9353,,704,,9353,,704,,8642,,678,,711,,207,,0,,21,,5746,,547,,8600000US75965,ZCTA5 75965,48,75965
6200,,547,,3398,,514,,3398,,514,,3232,,501,,166,,106,,0,,19,,2802,,469,,8600000US77480,ZCTA5 77480,48,77480
18665,,938,,12474,,809,,12474,,809,,11637,,819,,837,,227,,0,,25,,6191,,575,,8600000US77505,ZCTA5 77505,48,77505
26321,,988,,14593,,814,,14593,,814,,14014,,778,,579,,205,,0,,29,,11728,,774,,8600000US77515,ZCTA5 77515,48,77515
954,,388,,464,,211,,464,,211,,464,,211,,0,,14,,0,,14,,490,,267,,8600000US77519,ZCTA5 77519,48,77519
12318,,360,,8411,,438,,8399,,437,,7973,,435,,426,,158,,12,,20,,3907,,457,,8600000US77531,ZCTA5 77531,48,77531
1805,,366,,1225,,309,,1225,,309,,1169,,299,,56,,58,,0,,14,,580,,129,,8600000US77534,ZCTA5 77534,48,77534
25530,,834,,17338,,833,,17338,,833,,16111,,810,,1227,,320,,0,,29,,8192,,567,,8600000US77536,ZCTA5 77536,48,77536
855,,235,,469,,161,,463,,161,,459,,160,,4,,7,,6,,9,,386,,151,,8600000US77538,ZCTA5 77538,48,77538
40513,,727,,27608,,818,,27585,,818,,26136,,782,,1449,,309,,23,,23,,12905,,692,,8600000US77546,ZCTA5 77546,48,77546
8510,,443,,5362,,398,,5362,,398,,4854,,405,,508,,171,,0,,21,,3148,,310,,8600000US77563,ZCTA5 77563,48,77563
1648,,233,,959,,198,,959,,198,,866,,200,,93,,80,,0,,14,,689,,170,,8600000US75568,ZCTA5 75568,48,75568
3166,,410,,1766,,304,,1766,,304,,1613,,284,,153,,102,,0,,14,,1400,,228,,8600000US75975,ZCTA5 75975,48,75975
23264,,888,,14427,,737,,14389,,720,,13349,,724,,1040,,261,,38,,60,,8837,,612,,8600000US75901,ZCTA5 75901,48,75901
1066,,405,,585,,219,,585,,219,,449,,164,,136,,137,,0,,14,,481,,242,,8600000US75928,ZCTA5 75928,48,75928
5325,,336,,1789,,292,,1789,,292,,1648,,271,,141,,67,,0,,19,,3536,,265,,8600000US75948,ZCTA5 75948,48,75948
2131,,326,,1030,,220,,1030,,220,,994,,220,,36,,36,,0,,14,,1101,,197,,8600000US75954,ZCTA5 75954,48,75954
432,,219,,313,,189,,313,,189,,313,,189,,0,,14,,0,,14,,119,,79,,8600000US75960,ZCTA5 75960,48,75960
12978,,310,,10822,,431,,10813,,432,,10358,,429,,455,,133,,9,,14,,2156,,426,,8600000US75001,ZCTA5 75001,48,75001
31831,,1198,,22774,,1296,,22774,,1296,,21859,,1345,,915,,294,,0,,29,,9057,,879,,8600000US75013,ZCTA5 75013,48,75013
20460,,1192,,14762,,870,,14756,,872,,14185,,870,,571,,152,,6,,12,,5698,,589,,8600000US75022,ZCTA5 75022,48,75022
80687,,1439,,56823,,1253,,56709,,1249,,54552,,1225,,2157,,399,,114,,55,,23864,,902,,8600000US75034,ZCTA5 75034,48,75034
47491,,1166,,33048,,997,,33040,,999,,31543,,998,,1497,,279,,8,,12,,14443,,818,,8600000US75040,ZCTA5 75040,48,75040
32694,,1101,,23493,,1043,,23432,,1049,,22472,,1071,,960,,271,,61,,93,,9201,,587,,8600000US75050,ZCTA5 75050,48,75050
72751,,1634,,52346,,1488,,52311,,1493,,49742,,1482,,2569,,507,,35,,44,,20405,,1164,,8600000US75052,ZCTA5 75052,48,75052
39845,,842,,28909,,768,,28909,,768,,27711,,768,,1198,,187,,0,,32,,10936,,533,,8600000US75061,ZCTA5 75061,48,75061
30680,,882,,23142,,821,,23060,,813,,22229,,842,,831,,254,,82,,81,,7538,,659,,8600000US75063,ZCTA5 75063,48,75063
19977,,817,,13897,,663,,13876,,664,,13525,,634,,351,,127,,21,,34,,6080,,592,,8600000US75078,ZCTA5 75078,48,75078
32001,,950,,21938,,824,,21856,,819,,21208,,838,,648,,201,,82,,75,,10063,,736,,8600000US75081,ZCTA5 75081,48,75081
21943,,692,,14298,,746,,14260,,759,,13774,,765,,486,,185,,38,,56,,7645,,528,,8600000US75119,ZCTA5 75119,48,75119
3614,,435,,1726,,296,,1726,,296,,1654,,283,,72,,43,,0,,14,,1888,,285,,8600000US75124,ZCTA5 75124,48,75124
14236,,819,,10260,,794,,10239,,790,,9614,,753,,625,,252,,21,,34,,3976,,567,,8600000US75146,ZCTA5 75146,48,75146
3432,,217,,2143,,251,,2143,,251,,2074,,247,,69,,63,,0,,14,,1289,,219,,8600000US75172,ZCTA5 75172,48,75172
20456,,915,,14425,,713,,14425,,713,,13692,,713,,733,,258,,0,,25,,6031,,576,,8600000US75181,ZCTA5 75181,48,75181
34298,,1211,,27948,,1091,,27936,,1093,,27219,,1081,,717,,194,,12,,19,,6350,,634,,8600000US75206,ZCTA5 75206,48,75206
45821,,1170,,32482,,922,,32482,,922,,31472,,922,,1010,,206,,0,,32,,13339,,787,,8600000US75007,ZCTA5 75007,48,75007
10038,,849,,6925,,752,,6898,,750,,6803,,740,,95,,72,,27,,45,,3113,,445,,8600000US75009,ZCTA5 75009,48,75009
18599,,691,,10764,,593,,10748,,598,,10014,,591,,734,,222,,16,,24,,7835,,562,,8600000US75020,ZCTA5 75020,48,75020
53215,,1216,,40986,,1169,,40928,,1172,,39368,,1144,,1560,,295,,58,,44,,12229,,698,,8600000US75067,ZCTA5 75067,48,75067
42450,,1526,,27693,,1091,,27693,,1091,,26535,,1096,,1158,,248,,0,,32,,14757,,1050,,8600000US75080,ZCTA5 75080,48,75080
19409,,776,,11667,,690,,11667,,690,,11092,,684,,575,,192,,0,,25,,7742,,526,,8600000US75090,ZCTA5 75090,48,75090
36634,,772,,25787,,822,,25773,,821,,24319,,755,,1454,,312,,14,,16,,10847,,562,,8600000US75104,ZCTA5 75104,48,75104
21654,,574,,13657,,626,,13657,,626,,12788,,637,,869,,257,,0,,25,,7997,,519,,8600000US75110,ZCTA5 75110,48,75110
5808,,523,,2851,,298,,2851,,298,,2654,,298,,197,,80,,0,,19,,2957,,443,,8600000US75140,ZCTA5 75140,48,75140
359,,144,,192,,85,,185,,83,,173,,80,,12,,15,,7,,11,,167,,75,,8600000US75153,ZCTA5 75153,48,75153
